no,gender,age,height,weight,bmi,season,preference,sensitivity,environment,date,time,room,thermal sensation,thermal comfort ,thermal preference,ta,hr,griffith
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,10:00:00,5,1.8,0.0,1.0,23.5,19.1,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,10:30:00,5,1.5,1.0,1.0,23.8,19.7,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,11:00:00,5,1.0,1.0,1.0,24.0,19.8,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,11:30:00,5,1.2,1.0,1.0,24.1,20.1,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,12:00:00,5,1.0,1.0,1.0,24.2,20.1,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,14:30:00,5,2.0,0.0,1.0,23.9,18.1,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,15:00:00,5,0.7,1.0,1.0,24.5,18.1,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,15:30:00,5,0.0,1.0,2.0,25.1,18.7,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,16:00:00,5,0.0,1.0,2.0,25.0,19.9,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,16:30:00,5,0.1,1.0,2.0,24.9,20.4,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,17:00:00,5,0.0,1.0,2.0,24.9,20.4,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,17:30:00,5,-0.1,1.0,2.0,24.8,20.1,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,9:00:00,5,1.0,1.0,1.0,22.8,16.4,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,9:30:00,5,2.0,0.0,1.0,23.2,18.3,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,10:00:00,6,-0.3,1.0,3.0,22.0,17.5,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,10:30:00,6,0.0,1.0,2.0,22.3,16.9,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,11:00:00,6,0.0,1.0,2.0,25.3,14.4,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,11:30:00,6,0.0,1.0,2.0,25.8,13.8,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,12:00:00,6,0.0,1.0,2.0,26.3,13.3,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,14:30:00,6,1.0,0.0,1.0,27.3,11.6,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,15:00:00,6,0.5,1.0,1.0,25.5,13.8,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,15:30:00,6,0.2,1.0,1.0,25.3,14.2,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,16:00:00,6,0.0,1.0,2.0,25.4,14.4,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,16:30:00,6,0.0,1.0,2.0,25.3,14.3,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,17:00:00,6,0.0,1.0,2.0,25.2,14.6,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,17:30:00,6,0.2,1.0,1.0,24.9,14.7,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,9:00:00,6,-0.5,1.0,3.0,20.9,15.7,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,9:30:00,6,0.0,1.0,2.0,21.4,17.4,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,10:00:00,5,0.0,1.0,2.0,23.1,17.1,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,10:30:00,5,0.8,0.0,1.0,23.3,17.3,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,11:00:00,5,0.0,1.0,2.0,24.4,16.3,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,11:30:00,5,0.0,1.0,2.0,24.8,16.8,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,14:30:00,5,1.0,0.0,1.0,25.8,14.4,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,15:00:00,5,0.6,0.0,1.0,25.4,16.3,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,15:30:00,5,0.2,1.0,1.0,25.3,17.4,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,16:00:00,5,0.0,1.0,2.0,25.2,18.1,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,16:30:00,5,0.0,1.0,2.0,25.1,18.0,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,17:00:00,5,0.0,1.0,2.0,25.1,18.4,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,17:30:00,5,0.0,1.0,2.0,25.0,18.9,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,9:30:00,5,-0.2,1.0,3.0,22.9,16.7,-0.06
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/21,09:00:00,5,-2.1,0.0,1.0,23.7,58.9,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/21,09:30:00,5,-1.7,0.0,1.0,24.0,57.4,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/21,10:00:00,5,-2.0,0.0,1.0,25.4,53.0,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/21,10:30:00,5,-1.8,0.0,1.0,25.4,51.2,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/21,11:00:00,5,-1.5,1.0,1.0,25.6,51.8,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/21,11:30:00,5,-1.0,1.0,0.0,25.5,50.4,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/21,12:00:00,5,-1.0,1.0,0.0,25.4,49.5,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,09:00:00,5,-0.5,1.0,0.0,24.4,59.6,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,09:30:00,5,-0.2,1.0,0.0,24.6,59.3,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,10:00:00,5,-0.3,1.0,0.0,24.6,59.1,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,10:30:00,5,-0.5,1.0,0.0,24.7,59.4,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,11:00:00,5,-0.2,1.0,0.0,25.3,60.4,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,11:30:00,5,-0.2,1.0,0.0,25.6,59.8,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,12:00:00,5,0.0,1.0,0.0,25.8,59.6,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,14:30:00,5,0.6,0.0,-1.0,25.9,59.0,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,15:00:00,5,1.0,0.0,-1.0,26.3,59.4,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,15:30:00,5,1.0,0.0,-1.0,26.4,59.7,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,16:00:00,5,0.6,0.0,-1.0,26.8,60.6,1.02
