no,gender,age,height,weight,bmi,season,ta,hr,pmv
1,0,26,172.4,74.8,25.16,summer,18.1,73.3,-1.98
1,0,26,172.4,74.8,25.16,winter,28.9,24.4,1.61
1,0,26,172.4,74.8,25.16,summer,20.0,71.0,-1.33
1,0,26,172.4,74.8,25.16,winter,26.4,10.7,0.83
1,0,26,172.4,74.8,25.16,summer,29.9,66.7,2.06
1,0,26,172.4,74.8,25.16,winter,19.1,14.0,-0.99
1,0,26,172.4,74.8,25.16,summer,19.9,61.2,-1.42
1,0,26,172.4,74.8,25.16,winter,20.5,28.1,-0.55
1,0,26,172.4,74.8,25.16,summer,19.0,70.8,-1.68
1,0,26,172.4,74.8,25.16,winter,25.3,27.9,0.69
1,0,26,172.4,74.8,25.16,summer,18.3,74.9,-1.9
1,0,26,172.4,74.8,25.16,winter,29.5,18.3,1.71
1,0,26,172.4,74.8,25.16,summer,27.1,79.2,1.19
1,0,26,172.4,74.8,25.16,winter,25.0,21.7,0.56
1,0,26,172.4,74.8,25.16,summer,23.3,79.1,-0.12
1,0,26,172.4,74.8,25.16,winter,22.1,16.1,-0.22
1,0,26,172.4,74.8,25.16,summer,25.5,61.8,0.5
1,0,26,172.4,74.8,25.16,winter,19.0,26.7,-0.94
1,0,26,172.4,74.8,25.16,summer,26.3,72.3,0.85
1,0,26,172.4,74.8,25.16,winter,24.0,29.3,0.36
1,0,26,172.4,74.8,25.16,summer,24.2,72.2,0.14
1,0,26,172.4,74.8,25.16,winter,21.7,20.3,-0.29
1,0,26,172.4,74.8,25.16,summer,23.2,75.9,-0.17
1,0,26,172.4,74.8,25.16,winter,26.1,23.6,0.86
1,0,26,172.4,74.8,25.16,summer,23.3,65.1,-0.22
1,0,26,172.4,74.8,25.16,winter,25.7,30.1,0.81
1,0,26,172.4,74.8,25.16,summer,24.1,65.9,0.06
1,0,26,172.4,74.8,25.16,winter,22.3,16.8,-0.16
1,0,26,172.4,74.8,25.16,summer,29.7,60.7,1.93
1,0,26,172.4,74.8,25.16,winter,28.9,23.5,1.6
1,0,26,172.4,74.8,25.16,summer,18.5,74.2,-1.84
1,0,26,172.4,74.8,25.16,winter,29.4,23.5,1.73
1,0,26,172.4,74.8,25.16,summer,28.4,75.7,1.61
1,0,26,172.4,74.8,25.16,winter,21.4,12.4,-0.42
1,0,26,172.4,74.8,25.16,summer,25.0,61.2,0.32
1,0,26,172.4,74.8,25.16,winter,18.7,17.5,-1.07
1,0,26,172.4,74.8,25.16,summer,25.8,77.1,0.72
1,0,26,172.4,74.8,25.16,winter,24.8,27.3,0.55
1,0,26,172.4,74.8,25.16,summer,22.2,76.7,-0.51
1,0,26,172.4,74.8,25.16,winter,18.0,30.6,-1.19
1,0,26,172.4,74.8,25.16,summer,27.4,76.5,1.27
1,0,26,172.4,74.8,25.16,winter,18.1,26.6,-1.18
1,0,26,172.4,74.8,25.16,summer,22.3,78.4,-0.47
1,0,26,172.4,74.8,25.16,winter,22.5,13.9,-0.13
1,0,26,172.4,74.8,25.16,summer,19.8,62.3,-1.44
1,0,26,172.4,74.8,25.16,winter,21.3,30.8,-0.33
1,0,26,172.4,74.8,25.16,summer,18.4,70.4,-1.89
1,0,26,172.4,74.8,25.16,winter,25.1,23.5,0.6
1,0,26,172.4,74.8,25.16,summer,29.0,76.3,1.83
1,0,26,172.4,74.8,25.16,winter,28.3,20.0,1.41
1,0,26,172.4,74.8,25.16,summer,23.4,80.5,-0.08
1,0,26,172.4,74.8,25.16,winter,28.9,14.5,1.51
1,0,26,172.4,74.8,25.16,summer,25.9,77.7,0.76
1,0,26,172.4,74.8,25.16,winter,19.9,28.4,-0.7
1,0,26,172.4,74.8,25.16,summer,30.0,64.8,2.07
1,0,26,172.4,74.8,25.16,winter,19.6,18.9,-0.83
1,0,26,172.4,74.8,25.16,summer,24.9,76.6,0.41
1,0,26,172.4,74.8,25.16,winter,18.4,19.7,-1.14
1,0,26,172.4,74.8,25.16,summer,28.7,72.2,1.69
1,0,26,172.4,74.8,25.16,winter,19.0,23.6,-0.96
1,0,26,172.4,74.8,25.16,summer,26.9,69.3,1.03
1,0,26,172.4,74.8,25.16,winter,20.0,23.3,-0.7
1,0,26,172.4,74.8,25.16,summer,21.1,63.3,-0.98
1,0,26,172.4,74.8,25.16,winter,24.8,24.6,0.53
1,0,26,172.4,74.8,25.16,summer,29.9,69.2,2.08
1,0,26,172.4,74.8,25.16,winter,27.4,11.1,1.09
1,0,26,172.4,74.8,25.16,summer,19.4,66.9,-1.56
1,0,26,172.4,74.8,25.16,winter,27.4,19.4,1.17
1,0,26,172.4,74.8,25.16,summer,28.2,71.6,1.51
1,0,26,172.4,74.8,25.16,winter,21.7,28.2,-0.24
1,0,26,172.4,74.8,25.16,summer,26.3,76.5,0.89
1,0,26,172.4,74.8,25.16,winter,28.6,18.1,1.47
1,0,26,172.4,74.8,25.16,summer,25.2,77.2,0.51
1,0,26,172.4,74.8,25.16,winter,20.7,17.3,-0.56
1,0,26,172.4,74.8,25.16,summer,18.0,70.3,-2.03
1,0,26,172.4,74.8,25.16,winter,19.8,26.1,-0.74
1,0,26,172.4,74.8,25.16,summer,25.7,61.9,0.56
1,0,26,172.4,74.8,25.16,winter,24.2,22.2,0.36
1,0,26,172.4,74.8,25.16,summer,28.2,66.3,1.46
1,0,26,172.4,74.8,25.16,winter,29.0,10.3,1.5
1,0,26,172.4,74.8,25.16,summer,18.5,73.5,-1.84
1,0,26,172.4,74.8,25.16,winter,24.7,23.6,0.5
1,0,26,172.4,74.8,25.16,summer,28.3,60.6,1.44
1,0,26,172.4,74.8,25.16,winter,24.0,23.9,0.32
1,0,26,172.4,74.8,25.16,summer,21.0,73.5,-0.96
1,0,26,172.4,74.8,25.16,winter,26.6,26.1,1.01
1,0,26,172.4,74.8,25.16,summer,23.1,64.7,-0.28
1,0,26,172.4,74.8,25.16,winter,23.5,24.8,0.2
1,0,26,172.4,74.8,25.16,summer,25.0,76.0,0.44
1,0,26,172.4,74.8,25.16,winter,29.7,14.0,1.71
1,0,26,172.4,74.8,25.16,summer,23.7,78.8,0.01
1,0,26,172.4,74.8,25.16,winter,24.0,11.1,0.23
1,0,26,172.4,74.8,25.16,summer,29.0,73.7,1.81
1,0,26,172.4,74.8,25.16,winter,27.9,12.6,1.23
1,0,26,172.4,74.8,25.16,summer,29.7,66.6,1.98
1,0,26,172.4,74.8,25.16,winter,29.9,25.8,1.89
1,0,26,172.4,74.8,25.16,summer,26.1,68.3,0.75
1,0,26,172.4,74.8,25.16,winter,24.2,22.6,0.36
1,0,26,172.4,74.8,25.16,summer,21.7,62.5,-0.78
1,0,26,172.4,74.8,25.16,winter,19.6,14.5,-0.85
2,1,21,180.32,80.09,24.63,summer,23.9,74.2,0.05
2,1,21,180.32,80.09,24.63,winter,23.8,13.9,0.2
2,1,21,180.32,80.09,24.63,summer,19.9,72.1,-1.35
2,1,21,180.32,80.09,24.63,winter,28.9,24.7,1.61
